province,left_sections,left_basin_feddans,right_sections,right_basin_feddans,printed_basin_feddans,high_berm_feddans,summer_tract_feddans,printed_total_feddans
Esna,A-C,54955,L-M,14785,69740,65000,0,134740
Kena,C-E,97309,M-Q,131902,229211,45000,0,274211
Girga,F-G,236847,Q-S,49118,285965,30000,0,315965
Assiut,G-J,276152,S-U,60971,337123,55000,35000,425123
Minia,H,209718,V,0,209718,55000,156585,421303
Beni Suef,H-I,185717,W,0,185717,9000,47961,242678
Guza,K,113324,X,31616,144940,32000,4040,180980
Fayoum,,0,,0,0,0,220000,220000
