evidence_id,source_lon,source_lat,coordinate_uncertainty_km,map_pixel_x,map_pixel_y,location_rgb,location_tag,mapping_state,exclusion_reason_code,mapping_displacement_km,base_georeferencing_cap_km,effective_distance_cap_km,coordinate_transform_sha256,baseline_source_sha256,locations_png_sha256
crop_history_010584,76.524136,30.971447,50.0,11174,3100,8ae74b,sirhind,observed_exact_location_pixel,"",0.8212009081526176,60.68585597165764,110.68585597165765,891cd9e31a4b3324b33b5bb13e66998e117ca55685cc05e34d0a52ad3738eb63,a12e4dac83addffbfa3e7cb340cfb2520720e67a7f5e2311648cdfd7c348d2b9,bfbb8840343560367240f2b29e1e0621292aaa81616c06827c7fe566e2ec2b83
crop_history_010585,80.591304,27.531007,10.0,11359,3302,cc84bf,khairabad,observed_exact_location_pixel,"",1.0080727451370148,60.68585597165764,70.68585597165765,891cd9e31a4b3324b33b5bb13e66998e117ca55685cc05e34d0a52ad3738eb63,a12e4dac83addffbfa3e7cb340cfb2520720e67a7f5e2311648cdfd7c348d2b9,bfbb8840343560367240f2b29e1e0621292aaa81616c06827c7fe566e2ec2b83
crop_history_010586,76.39018,30.78651,50.0,11168,3111,8ae74b,sirhind,observed_exact_location_pixel,"",0.6157010323949041,60.68585597165764,110.68585597165765,891cd9e31a4b3324b33b5bb13e66998e117ca55685cc05e34d0a52ad3738eb63,a12e4dac83addffbfa3e7cb340cfb2520720e67a7f5e2311648cdfd7c348d2b9,bfbb8840343560367240f2b29e1e0621292aaa81616c06827c7fe566e2ec2b83
crop_history_010587,76.39018,30.78651,50.0,11168,3111,8ae74b,sirhind,observed_exact_location_pixel,"",0.6157010323949041,60.68585597165764,110.68585597165765,891cd9e31a4b3324b33b5bb13e66998e117ca55685cc05e34d0a52ad3738eb63,a12e4dac83addffbfa3e7cb340cfb2520720e67a7f5e2311648cdfd7c348d2b9,bfbb8840343560367240f2b29e1e0621292aaa81616c06827c7fe566e2ec2b83
crop_history_010588,86.021,22.675,1.0,11606,3581,d20942,kharsawan,observed_exact_location_pixel,"",1.1008037280953225,60.68585597165764,61.68585597165764,891cd9e31a4b3324b33b5bb13e66998e117ca55685cc05e34d0a52ad3738eb63,a12e4dac83addffbfa3e7cb340cfb2520720e67a7f5e2311648cdfd7c348d2b9,bfbb8840343560367240f2b29e1e0621292aaa81616c06827c7fe566e2ec2b83
crop_history_010589,82.2125,26.73861111,50.0,11433,3347,aa98d8,awadh,observed_exact_location_pixel,"",0.8960224324035837,60.68585597165764,110.68585597165765,891cd9e31a4b3324b33b5bb13e66998e117ca55685cc05e34d0a52ad3738eb63,a12e4dac83addffbfa3e7cb340cfb2520720e67a7f5e2311648cdfd7c348d2b9,bfbb8840343560367240f2b29e1e0621292aaa81616c06827c7fe566e2ec2b83
crop_history_010590,82.2125,26.73861111,50.0,11433,3347,aa98d8,awadh,observed_exact_location_pixel,"",0.8960224324035837,60.68585597165764,110.68585597165765,891cd9e31a4b3324b33b5bb13e66998e117ca55685cc05e34d0a52ad3738eb63,a12e4dac83addffbfa3e7cb340cfb2520720e67a7f5e2311648cdfd7c348d2b9,bfbb8840343560367240f2b29e1e0621292aaa81616c06827c7fe566e2ec2b83
crop_history_010591,80.251389,28.208333,10.0,11344,3262,775e10,nahil,observed_exact_location_pixel,"",0.6229871920228495,60.68585597165764,70.68585597165765,891cd9e31a4b3324b33b5bb13e66998e117ca55685cc05e34d0a52ad3738eb63,a12e4dac83addffbfa3e7cb340cfb2520720e67a7f5e2311648cdfd7c348d2b9,bfbb8840343560367240f2b29e1e0621292aaa81616c06827c7fe566e2ec2b83
crop_history_010592,80.25138889,28.20833333,50.0,11344,3262,775e10,nahil,observed_exact_location_pixel,"",0.6229755212114423,60.68585597165764,110.68585597165765,891cd9e31a4b3324b33b5bb13e66998e117ca55685cc05e34d0a52ad3738eb63,a12e4dac83addffbfa3e7cb340cfb2520720e67a7f5e2311648cdfd7c348d2b9,bfbb8840343560367240f2b29e1e0621292aaa81616c06827c7fe566e2ec2b83
crop_history_010593,75.097563,33.805616,50.0,11109,2932,cf1c3d,srinagar,observed_exact_location_pixel,"",0.6917975862119018,60.68585597165764,110.68585597165765,891cd9e31a4b3324b33b5bb13e66998e117ca55685cc05e34d0a52ad3738eb63,a12e4dac83addffbfa3e7cb340cfb2520720e67a7f5e2311648cdfd7c348d2b9,bfbb8840343560367240f2b29e1e0621292aaa81616c06827c7fe566e2ec2b83
